"zip","lat","lon","city","abr","county","type"
501,40.92,-72.64,"HOLTSVILLE","NY","SUFFOLK","UNIQUE"
544,40.92,-72.64,"HOLTSVILLE","NY","SUFFOLK","UNIQUE"
601,18.17,-66.72,"ADJUNTAS","PR","ADJUNTAS","STANDARD"
602,18.39,-67.18,"AGUADA","PR","AGUADA","STANDARD"
603,18.46,-67.15,"AGUADILLA","PR","AGUADILLA","STANDARD"
604,18.49,-67.14,"AGUADILLA","PR","AGUADILLA","STANDARD"
605,18.47,-67.14,"AGUADILLA","PR","AGUADILLA","STANDARD"
606,18.17,-66.94,"MARICAO","PR","MARICAO","STANDARD"
610,18.29,-67.14,"ANASCO","PR","ANASCO","STANDARD"
611,18.28,-66.8,"ANGELES","PR","UTUADO","PO BOX ONLY"
612,18.45,-66.7,"ARECIBO","PR","ARECIBO","STANDARD"
613,18.46,-66.73,"ARECIBO","PR","ARECIBO","STANDARD"
614,18.43,-66.67,"ARECIBO","PR","ARECIBO","STANDARD"
616,18.44,-66.64,"BAJADERO","PR","ARECIBO","STANDARD"
617,18.45,-66.54,"BARCELONETA","PR","BARCELONETA","STANDARD"
622,18,-67.19,"BOQUERON","PR","CABO ROJO","STANDARD"
623,18.06,-67.15,"CABO ROJO","PR","CABO ROJO","STANDARD"
624,18.02,-66.73,"PENUELAS","PR","PENUELAS","STANDARD"
627,18.48,-66.85,"CAMUY","PR","CAMUY","STANDARD"
631,18.27,-66.86,"CASTANER","PR","LARES","STANDARD"
636,18.11,-67.04,"ROSARIO","PR","SAN GERMAN","STANDARD"
637,18.09,-66.93,"SABANA GRANDE","PR","SABANA GRANDE","STANDARD"
638,18.34,-66.47,"CIALES","PR","CIALES","STANDARD"
641,18.25,-66.7,"UTUADO","PR","UTUADO","STANDARD"
646,18.44,-66.28,"DORADO","PR","DORADO","STANDARD"
647,17.97,-66.94,"ENSENADA","PR","GUANICA","STANDARD"
650,18.36,-66.56,"FLORIDA","PR","FLORIDA","STANDARD"
652,18.46,-66.6,"GARROCHALES","PR","ARECIBO","STANDARD"
653,17.97,-66.9,"GUANICA","PR","GUANICA","STANDARD"
656,18.02,-66.79,"GUAYANILLA","PR","GUAYANILLA","STANDARD"
659,18.48,-66.81,"HATILLO","PR","HATILLO","STANDARD"
660,18.15,-67.14,"HORMIGUEROS","PR","HORMIGUEROS","STANDARD"
662,18.48,-67.03,"ISABELA","PR","ISABELA","STANDARD"
664,18.22,-66.6,"JAYUYA","PR","JAYUYA","STANDARD"
667,18.02,-67.06,"LAJAS","PR","LAJAS","STANDARD"
669,18.3,-66.88,"LARES","PR","LARES","STANDARD"
670,18.25,-66.99,"LAS MARIAS","PR","LAS MARIAS","STANDARD"
674,18.45,-66.49,"MANATI","PR","MANATI","STANDARD"
676,18.38,-67.08,"MOCA","PR","MOCA","STANDARD"
